ticker,exchange_cd,date,sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
AAPL,MM,2013.10.11,0.963,3.08,-2.154,27,3,APPLE INC
AAPL,MM,2013.10.12,1,2.907,-1.907,11,3,APPLE INC
AAPL,MM,2013.10.13,3,4.414,1.586,4,2,APPLE INC
AAPL,MM,2013.10.14,1.316,3.153,-1.521,19,4,APPLE INC
AAPL,MM,2013.10.15,1.391,3.675,-1.893,133,10,APPLE INC
AAPL,MM,2013.10.16,0.071,2.004,-2.862,85,6,APPLE INC
AAPL,MM,2013.10.17,0.667,3.051,-2.717,78,5,APPLE INC
AAPL,MM,2013.10.18,1.37,3.489,-1.75,46,3,APPLE INC
AAPL,MM,2013.10.19,2.45,4.077,0.823,20,3,APPLE INC
AAPL,MM,2013.10.20,3,3.816,2.184,3,2,APPLE INC
AAPL,MM,2013.10.21,0.644,2.754,-2.465,90,8,APPLE INC
AAPL,MM,2013.10.22,1.462,3.401,-1.478,169,10,APPLE INC
AAPL,MM,2013.10.23,0.89,2.945,-2.164,146,8,APPLE INC
AAPL,MM,2013.10.24,0.558,2.64,-2.525,156,9,APPLE INC
AAPL,MM,2013.10.25,1.631,3.939,-1.677,84,4,APPLE INC
AAPL,MM,2013.10.26,2.24,3.796,0.684,25,3,APPLE INC
AAPL,MM,2013.10.27,1.25,2.449,0.051,8,3,APPLE INC
AAPL,MM,2013.10.28,0.873,3.048,-2.302,142,10,APPLE INC
AAPL,MM,2013.10.29,0.226,2.307,-2.856,164,9,APPLE INC
AAPL,MM,2013.10.30,0.635,2.857,-2.587,85,5,APPLE INC
AAPL,MM,2013.10.31,0.395,2.669,-2.878,43,2,APPLE INC
AAPL,MM,2013.11.1,0.481,2.674,-2.711,54,3,APPLE INC
AAPL,MM,2013.11.2,2.182,3.878,0.486,11,2,APPLE INC
AAPL,MM,2013.11.3,1,3.049,-2.049,10,2,APPLE INC
AAPL,MM,2013.11.4,0.75,3.006,-2.506,40,3,APPLE INC
AAPL,MM,2013.11.5,0.375,2.504,-2.754,120,7,APPLE INC
AAPL,MM,2013.11.6,0.97,3.259,-2.32,99,8,APPLE INC
AAPL,MM,2013.11.7,0.792,3.135,-2.55,53,4,APPLE INC
AAPL,MM,2013.11.8,0.34,2.364,-2.684,47,3,APPLE INC
AAPL,MM,2013.11.9,-1.312,1.257,-2.882,16,3,APPLE INC
AAPL,MM,2013.11.10,2.087,4.17,0.004,23,4,APPLE INC
